pop,avg_height,n
BH,3.2245098039215687,102
WL1,2.711340206185567,97
LV3,2.1666666666666665,51
IH,3.482051282051282,39
SQ1,2.116216216216216,37
TM2,6.36,35
SC,3.176470588235294,34
CC,4.678787878787879,33
CP2,1.7787878787878788,33
FR,3.506060606060606,33
DPR,5.12,20
WL2,2.2777777777777777,18
SQ2,1.1142857142857143,14
YO7,1.4071428571428573,14
LVTR1,1.7777777777777777,9
SQ3,1.011111111111111,9
YO8,5.011111111111111,9
YO11,2.4375,8
WR,2.7714285714285714,7
CP3,1.2333333333333334,6
YO4,2.24,5
LV1,1.2,1
WV,3.9,1
